day_reported	model_fit	model_fit_low	model_fit_high	data_value	smoothed_value	variable	data_source	model_type
2020-04-12	347.236665940511	327.796267832257	367.830002979726	220	335.857142857143	cases	FOPH_online	current
2020-04-13	308.152039007109	290.899833512212	326.427409729859	247	301.571428571428	cases	FOPH_online	current
2020-04-14	275.733505250137	260.296284358362	292.086251269167	427	298.857142857143	cases	FOPH_online	current
2020-04-15	276.821854277994	261.323701058335	293.239146298485	329	283	cases	FOPH_online	current
2020-04-16	263.068180710906	248.340040902334	278.669792640335	318	263.714285714286	cases	FOPH_online	current
2020-04-17	245.237715168239	231.507832118256	259.7818673807	291	267.285714285714	cases	FOPH_online	current
2020-04-18	252.03212754058	237.921852399594	266.979231508116	149	236.857142857143	cases	FOPH_online	current
2020-04-19	221.115665932522	208.736280356817	234.229227603394	85	212.857142857143	cases	FOPH_online	current
2020-04-20	197.495234327001	186.438262652076	209.207954563843	272	198.142857142857	cases	FOPH_online	current
2020-04-21	183.939918347357	173.641854832126	194.848722356383	214	180.857142857143	cases	FOPH_online	current
2020-04-22	167.43647262171	158.062371310169	177.366517607071	161	171.857142857143	cases	FOPH_online	current
2020-04-23	159.774044798778	150.828932306578	169.249659206455	215	168.714285714286	cases	FOPH_online	current
2020-04-24	158.234754558718	149.375820797068	167.619079290437	170	155.857142857143	cases	FOPH_online	current
2020-04-25	145.819933723856	137.656056340594	154.467980824751	86	146.714285714286	cases	FOPH_online	current
2020-04-26	137.401231059157	129.708683311875	145.549995686706	63	139.428571428571	cases	FOPH_online	current
2020-04-27	130.886645066335	123.558823045434	138.649053418237	182	117	cases	FOPH_online	current
2020-04-28	107.864383517657	101.825486238175	114.261425714482	150	92.8571428571429	cases	FOPH_online	current
2020-04-29	83.5641931348806	78.8857667430795	88.5200798900295	110	80.7142857142857	cases	FOPH_online	current
2020-04-30	72.231436267894	51.9257313970231	100.477744751072	58	NA	cases	FOPH_online	current
2020-05-01	64.6401109686014	38.9795964557793	107.193104237835	1	NA	cases	FOPH_online	current
2020-05-02	57.846613080437	29.6574841306175	112.829214714921	0	NA	cases	FOPH_online	current
2020-05-03	51.7670931366934	22.6110939400866	118.518455538858	NA	NA	cases	FOPH_online	current
2020-05-04	46.3265140190096	17.2076885697807	124.720173337077	NA	NA	cases	FOPH_online	current
2020-05-05	41.4577248037956	13.0498016532686	131.706442103413	NA	NA	cases	FOPH_online	current
2020-05-06	37.1006319448509	9.8538882053688	139.686676164779	NA	NA	cases	FOPH_online	current
2020-02-24	NA	NA	NA	5	NA	hospitalizations	FOPH_online	current
2020-02-25	NA	NA	NA	4	NA	hospitalizations	FOPH_online	current
2020-02-26	NA	NA	NA	8	NA	hospitalizations	FOPH_online	current
2020-02-27	1.27728493969502	1.21309211904168	1.34487463199459	4	6.71428571428571	hospitalizations	FOPH_online	current
2020-02-28	12.476203772115	11.8491841570797	13.136403190285	5	8	hospitalizations	FOPH_online	current
2020-02-29	13.3208943484163	12.6514229131278	14.0257919966885	12	9.57142857142857	hospitalizations	FOPH_online	current
2020-03-01	14.7951030757896	14.0515419730347	15.5780109715578	9	10.1428571428571	hospitalizations	FOPH_online	current
2020-03-02	14.6271877449171	13.8920656038885	15.4012101170302	14	11.7142857142857	hospitalizations	FOPH_online	current
2020-03-03	16.2637005653915	15.446331800515	17.1243217805211	15	14.1428571428571	hospitalizations	FOPH_online	current
2020-03-04	19.1302707308182	18.1688360501849	20.1425813532328	12	13.4285714285714	hospitalizations	FOPH_online	current
2020-03-05	17.2030499196501	16.3384720452361	18.1133783941727	15	14.5714285714286	hospitalizations	FOPH_online	current
2020-03-06	18.2088927666286	17.2937640030003	19.172447116143	22	16.7142857142857	hospitalizations	FOPH_online	current
2020-03-07	20.6289594648384	19.5922048190757	21.720575735693	7	20.2857142857143	hospitalizations	FOPH_online	current
2020-03-08	24.9777234482453	23.7224119106139	26.2994619184521	17	25.1428571428571	hospitalizations	FOPH_online	current
2020-03-09	30.9855847696259	29.4283346806751	32.6252393801322	29	30.4285714285714	hospitalizations	FOPH_online	current
2020-03-10	37.398532726428	35.5189855483496	39.3775393214938	40	34.7142857142857	hospitalizations	FOPH_online	current
